Column,Data_Type,Missing_Count,Missing_Percentage,Unique_Values
FLAG_DOCUMENT_4,int64,0,0.0,2
FLAG_DOCUMENT_5,int64,0,0.0,2
FLAG_DOCUMENT_6,int64,0,0.0,2
FLAG_DOCUMENT_7,int64,0,0.0,2
FLAG_DOCUMENT_8,int64,0,0.0,2
FLAG_DOCUMENT_9,int64,0,0.0,2
FLAG_DOCUMENT_10,int64,0,0.0,2
FLAG_DOCUMENT_11,int64,0,0.0,2
FLAG_DOCUMENT_12,int64,0,0.0,2
FLAG_DOCUMENT_13,int64,0,0.0,2
FLAG_DOCUMENT_14,int64,0,0.0,2
FLAG_DOCUMENT_15,int64,0,0.0,2
FLAG_DOCUMENT_16,int64,0,0.0,2
FLAG_DOCUMENT_17,int64,0,0.0,2
FLAG_DOCUMENT_18,int64,0,0.0,2
FLAG_DOCUMENT_19,int64,0,0.0,2
FLAG_DOCUMENT_20,int64,0,0.0,2
FLAG_DOCUMENT_21,int64,0,0.0,2
AMT_REQ_CREDIT_BUREAU_HOUR,float64,41519,13.501630835970097,5
AMT_REQ_CREDIT_BUREAU_DAY,float64,41519,13.501630835970097,9
AMT_REQ_CREDIT_BUREAU_WEEK,float64,41519,13.501630835970097,9
AMT_REQ_CREDIT_BUREAU_MON,float64,41519,13.501630835970097,24
AMT_REQ_CREDIT_BUREAU_QRT,float64,41519,13.501630835970097,11
AMT_REQ_CREDIT_BUREAU_YEAR,float64,41519,13.501630835970097,25
